ID	gene	Count
regulation of T cell activation	ZAP70	22
regulation of T cell activation	ZNF683	22
regulation of leukocyte differentiation	ADA	18
regulation of leukocyte differentiation	BATF	18
regulation of leukocyte differentiation	CD2	18
regulation of leukocyte differentiation	CDK6	18
regulation of leukocyte differentiation	GPR68	18
regulation of leukocyte differentiation	IFNG	18
regulation of leukocyte differentiation	IKZF3	18
regulation of leukocyte differentiation	JAK3	18
regulation of leukocyte differentiation	LAG3	18
regulation of leukocyte differentiation	LEF1	18
regulation of leukocyte differentiation	PRDM1	18
regulation of leukocyte differentiation	RASGRP1	18
regulation of leukocyte differentiation	RHOH	18
regulation of leukocyte differentiation	RUNX3	18
regulation of leukocyte differentiation	TBX21	18
regulation of leukocyte differentiation	TESC	18
regulation of leukocyte differentiation	ZAP70	18
regulation of leukocyte differentiation	ZNF683	18
natural killer cell mediated immunity	CD2	11
natural killer cell mediated immunity	CD96	11
natural killer cell mediated immunity	CORO1A	11
natural killer cell mediated immunity	GZMB	11
natural killer cell mediated immunity	KLRB1	11
natural killer cell mediated immunity	KLRC4	11
natural killer cell mediated immunity	KLRK1	11
natural killer cell mediated immunity	LAG3	11
natural killer cell mediated immunity	NKG7	11
natural killer cell mediated immunity	RASGRP1	11
natural killer cell mediated immunity	SLAMF7	11
lymphocyte mediated immunity	BATF	17
lymphocyte mediated immunity	CD2	17
lymphocyte mediated immunity	CD8A	17
lymphocyte mediated immunity	CD96	17
lymphocyte mediated immunity	CORO1A	17
lymphocyte mediated immunity	GZMB	17
lymphocyte mediated immunity	IL2RB	17
lymphocyte mediated immunity	KLRB1	17
lymphocyte mediated immunity	KLRC4	17
lymphocyte mediated immunity	KLRK1	17
lymphocyte mediated immunity	LAG3	17
lymphocyte mediated immunity	NKG7	17
lymphocyte mediated immunity	RASGRP1	17
lymphocyte mediated immunity	SLAMF1	17
lymphocyte mediated immunity	SLAMF7	17
lymphocyte mediated immunity	TBX21	17
lymphocyte mediated immunity	XCL1	17
natural killer cell activation	CD2	11
natural killer cell activation	CD244	11
natural killer cell activation	CORO1A	11
natural killer cell activation	IL2RB	11
natural killer cell activation	KLRK1	11
natural killer cell activation	NKG7	11
natural killer cell activation	PRDM1	11
natural killer cell activation	RASGRP1	11
natural killer cell activation	SLAMF1	11
natural killer cell activation	SLAMF7	11
natural killer cell activation	ZNF683	11
positive regulation of T cell activation	ADA	15
positive regulation of T cell activation	CCL5	15
positive regulation of T cell activation	CORO1A	15
positive regulation of T cell activation	DPP4	15
positive regulation of T cell activation	IFNG	15
positive regulation of T cell activation	JAK3	15
positive regulation of T cell activation	KLRK1	15
positive regulation of T cell activation	LEF1	15
positive regulation of T cell activation	RASGRP1	15
positive regulation of T cell activation	RHOH	15
positive regulation of T cell activation	RUNX3	15
positive regulation of T cell activation	SLAMF1	15
positive regulation of T cell activation	TNFSF14	15
positive regulation of T cell activation	XCL1	15
positive regulation of T cell activation	ZAP70	15
T cell receptor signaling pathway	ADA	12
T cell receptor signaling pathway	CD247	12
T cell receptor signaling pathway	CD3D	12
T cell receptor signaling pathway	CD8A	12
T cell receptor signaling pathway	CD8B	12
T cell receptor signaling pathway	ITK	12
T cell receptor signaling pathway	PDE4B	12
T cell receptor signaling pathway	PVRIG	12
T cell receptor signaling pathway	THEMIS	12
T cell receptor signaling pathway	TRAT1	12
T cell receptor signaling pathway	UBASH3A	12
T cell receptor signaling pathway	ZAP70	12
positive regulation of cell-cell adhesion	ADA	16
