gene,HR,z,pvalue,lower,upper
RAB3IL1,1.506283045,5.875171176,4.22E-09,1.313883146,1.726857231
F13A1,1.502319819,4.587292097,0.00000449,1.2625221,1.787663629
RGS2,1.500767369,5.070891371,0.000000396,1.282820868,1.755742171
SOD3,1.496623255,7.315538792,2.56E-13,1.343373306,1.667355721
GFRA2,1.48841453,3.774324202,0.000160442,1.210682675,1.82985836
STEAP4,1.487482348,6.385533138,1.71E-10,1.316799858,1.680288559
S1PR3,1.48629114,5.982403861,2.2E-09,1.305325911,1.692344675
SFN,1.484031394,5.984936743,2.16E-09,1.304062546,1.688837078
PRSS8,1.480432968,7.076197414,1.48E-12,1.327989071,1.650376363
MUC1,1.472261041,5.249406184,0.000000153,1.274279057,1.701003058
MALL,1.45678528,5.51069437,3.57E-08,1.274328462,1.665366046
CD36,1.449273875,3.280458152,0.001036386,1.161096868,1.80897462
CEACAM6,1.440722686,7.152831782,8.5E-13,1.303549159,1.592331093
CYR61,1.440070275,6.365428116,1.95E-10,1.287111404,1.611206606
TPST1,1.438259983,7.837116836,4.61E-15,1.313300944,1.575108726
ITGB3,1.435471792,5.239872456,0.000000161,1.25392372,1.643305117
SPINK1,1.435362046,4.773993012,0.00000181,1.237430721,1.664953172
C10orf116,1.424633543,4.943972202,0.000000765,1.238140244,1.639217159
CHST15,1.417092568,5.86413149,4.51E-09,1.261236452,1.592208459
IL1R2,1.410846582,6.668943202,2.58E-11,1.275112612,1.561029246
CMKLR1,1.40508898,5.890266584,3.86E-09,1.254746336,1.573445551
TM4SF19,1.403369075,4.603301845,0.00000416,1.214814606,1.621189565
MMP10,1.388053006,5.709619427,1.13E-08,1.24028575,1.553425206
FFAR3,1.385120305,5.060553301,0.000000418,1.220925212,1.571397036
SFTPC,1.385097664,5.441727999,5.28E-08,1.231751119,1.55753505
CYTL1,1.381929536,3.854472491,0.000115979,1.172330611,1.629002283
SDS,1.381048391,5.553479928,0.000000028,1.232326021,1.547719211
G0S2,1.376607193,4.919047725,0.00000087,1.211998379,1.563572522
CXCL14,1.375796981,6.148983251,7.8E-10,1.242769834,1.523063469
SPP1,1.374260547,5.669241375,1.43E-08,1.231220921,1.533918096
HAMP,1.368762365,4.735034292,0.00000219,1.201982198,1.558683993
RNASE1,1.367665737,3.26046546,0.001112295,1.133021924,1.650903242
IL8,1.366295291,4.906165279,0.000000929,1.206134861,1.54772313
HRK,1.365638784,4.282221267,0.0000185,1.184112326,1.574993561
