cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
Macrophage	BICD1	0.340492115	0.317856254	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BICD2	-0.025638516	0.82021059	1	pseudobulk	edgeR	LRT
Macrophage	BICDL1	-0.953123629	0.144552489	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BICDL2	-0.372898471	0.884021661	1	pseudobulk	edgeR	LRT
Macrophage	BICRA	-0.542956955	0.843500817	1	pseudobulk	edgeR	LRT
Macrophage	BICRA-AS1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BICRAL	-1.614485424	0.556643448	1	pseudobulk	edgeR	LRT
Macrophage	BID	-0.029728505	0.862551085	1	pseudobulk	edgeR	LRT
Macrophage	BIK	-0.587290056	0.135869207	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BIN1	-0.143391541	0.380598946	0.895223157	pseudobulk	edgeR	LRT
Macrophage	BIN2	-0.24732937	0.11800881	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BIN3	-0.228229602	0.195351248	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BIRC2	-0.102323313	0.533522621	0.995914927	pseudobulk	edgeR	LRT
Macrophage	BIRC3	0.026956027	0.90466984	1	pseudobulk	edgeR	LRT
Macrophage	BIRC5	-0.593471919	0.1755837	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BIRC6	0.05332335	0.72856115	1	pseudobulk	edgeR	LRT
Macrophage	BIRC7	0.379559072	0.451070676	0.947349602	pseudobulk	edgeR	LRT
Macrophage	BISPR	-0.073890752	0.73728636	1	pseudobulk	edgeR	LRT
Macrophage	BIVM	-0.193997179	0.298205704	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BLACAT1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BLCAP	-0.25428666	0.075233956	0.680846621	pseudobulk	edgeR	LRT
Macrophage	BLID	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BLK	-0.612461193	0.433102105	0.934800597	pseudobulk	edgeR	LRT
Macrophage	BLM	0.267682723	0.481265663	0.967267415	pseudobulk	edgeR	LRT
Macrophage	BLMH	0.415982883	0.005586789	0.303891118	pseudobulk	edgeR	LRT
Macrophage	BLNK	0.380160733	0.054723076	0.653648263	pseudobulk	edgeR	LRT
Macrophage	BLOC1S1	0.067745796	0.511053763	0.982301834	pseudobulk	edgeR	LRT
Macrophage	BLOC1S2	-0.053211721	0.660015004	1	pseudobulk	edgeR	LRT
Macrophage	BLOC1S3	-0.295812859	0.18290447	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BLOC1S4	-0.146940976	0.296480471	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BLOC1S5	0.103013432	0.507739519	0.980315733	pseudobulk	edgeR	LRT
Macrophage	BLOC1S6	0.134804451	0.275641533	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BLVRA	-0.150299335	0.443068166	0.942431161	pseudobulk	edgeR	LRT
Macrophage	BLVRB	0.500365437	0.020572416	0.495722336	pseudobulk	edgeR	LRT
Macrophage	BLZF1	-0.417993846	0.021799173	0.503715297	pseudobulk	edgeR	LRT
Macrophage	BMF	0.592818867	0.031661929	0.565407292	pseudobulk	edgeR	LRT
Macrophage	BMI1	0.036873213	0.833050501	1	pseudobulk	edgeR	LRT
Macrophage	BMP1	-0.157926391	0.528694022	0.99342213	pseudobulk	edgeR	LRT
Macrophage	BMP2	-0.519880544	0.305181359	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BMP2K	0.140724873	0.599706149	1	pseudobulk	edgeR	LRT
Macrophage	BMP3	-0.375009765	0.663706314	1	pseudobulk	edgeR	LRT
Macrophage	BMP4	-0.272518354	0.788438111	1	pseudobulk	edgeR	LRT
Macrophage	BMP5	0.628716337	0.324039276	0.840389908	pseudobulk	edgeR	LRT
Macrophage	BMP6	0.854857131	0.168340211	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BMP7	0.009969579	0.949535347	1	pseudobulk	edgeR	LRT
Macrophage	BMP8A	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BMP8B	0.389508353	0.203591383	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BMPER	0.470329694	0.641655082	1	pseudobulk	edgeR	LRT
Macrophage	BMPR1A	-0.71762245	0.006965247	0.327902327	pseudobulk	edgeR	LRT
Macrophage	BMPR1B	0.338274908	0.574566554	1	pseudobulk	edgeR	LRT
Macrophage	BMPR1B-AS1	1.107889404	0.18267216	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BMPR1B-DT	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BMPR2	-0.163224425	0.315328464	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BMS1	-0.089857904	0.517334269	0.987129408	pseudobulk	edgeR	LRT
Macrophage	BMS1P14	-0.268197756	0.682750508	1	pseudobulk	edgeR	LRT
Macrophage	BMT2	0.154958804	0.966042723	1	pseudobulk	edgeR	LRT
Macrophage	BMX	-1.208141588	0.049161015	0.631235803	pseudobulk	edgeR	LRT
Macrophage	BNC1	-0.546437272	0.299970725	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BNC2	0.681934312	0.198859068	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BNC2-AS1	0	1	1	pseudobulk	edgeR	LRT
Macrophage	BNIP1	-0.053304864	0.813791515	1	pseudobulk	edgeR	LRT
Macrophage	BNIP2	-0.121031277	0.292374834	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BNIP3	0.347042543	0.16962117	0.780066642	pseudobulk	edgeR	LRT
Macrophage	BNIP3L	0.075355906	0.618485244	1	pseudobulk	edgeR	LRT
Macrophage	BNIPL	0.930698273	0.139201283	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BOC	1.669444255	0.011383105	0.410268839	pseudobulk	edgeR	LRT
Macrophage	BOD1	-0.148289851	0.260632708	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BOD1L1	0.108255999	0.575099129	1	pseudobulk	edgeR	LRT
Macrophage	BOK	-1.122563096	0.01271137	0.428402775	pseudobulk	edgeR	LRT
Macrophage	BOK-AS1	-0.182669005	0.832448336	1	pseudobulk	edgeR	LRT
Macrophage	BOLA1	-0.26101397	0.136616517	0.756645391	pseudobulk	edgeR	LRT
Macrophage	BOLA2	-0.12176327	0.774249896	1	pseudobulk	edgeR	LRT
Macrophage	BOLA2-SMG1P6	-0.517603664	0.857837499	1	pseudobulk	edgeR	LRT
Macrophage	BOLA2B	-0.217549055	0.242130056	0.832953811	pseudobulk	edgeR	LRT
Macrophage	BOLA3	0.121372243	0.498217647	0.974546951	pseudobulk	edgeR	LRT
Macrophage	BOLA3-AS1	-0.193921436	0.594450693	1	pseudobulk	edgeR	LRT
Macrophage	BOLL	-0.652230431	0.287378383	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BOP1	0.220454252	0.105553648	0.744356075	pseudobulk	edgeR	LRT
Macrophage	BORA	-0.196016437	0.308720754	0.835907844	pseudobulk	edgeR	LRT
Macrophage	BORCS5	-0.023172746	0.85641434	1	pseudobulk	edgeR	LRT
